Batch sizes,Patch sizes,dice_coef,jacard_coef,auc_1,val_dice_coef,val_jacard_coef,val_auc_1
Batch size 32,256,0.9755,0.7811,0.9663,0.9761,0.7963,0.9695
,512,0.943,0.529,0.921,0.942,0.568,0.924
,736,0.932,0.363,0.913,0.925,0.367,0.878
Batch size 64,256,0.9735,0.7614,0.9642,0.9742,0.7561,0.9679
,512,0.947,0.563,0.929,0.947,0.558,0.929
,736,0.93,0.36,0.869,0.919,0.292,0.884
Batch size 128,256,0.9241,0.3965,0.8493,0.9244,0.4124,0.894
,512,0.921,0.357,0.836,0.921,0.364,0.824
,736,0.931,0.357,0.573,0.929,0.361,0.568
